sequence,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,viol_shortage,violation_score,feasible
standard|gentle|strong|protect,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|gentle|protect|gentle,1623.1418086272004,9358.84748,0.17433600000000005,0.0,0.055128,0.055128,9327.7462,9340.006059673602,9308.38728,9321.041962790401,9063.82028,9206.94651310976,47.28600000000001,6390.758167987202,3926.0230941710956,4950.857665380687,7115.567551092613,7976.626209984001,0.0,0.0,0.0,0.0,0.0,True
standard|gentle|protect|standard,759.5050255104002,9363.428240000001,0.07809600000000001,0.0,0.03348,0.03348,9329.803600000001,9342.305914316801,9075.952640000001,9245.239608535041,66.02664000000001,7186.148009786882,56.20200000000001,2908.8832657179655,2468.6172755290922,3381.721681970804,5677.691991610182,3622.0535821474564,0.0,0.0,0.0,0.0,0.0,True
standard|gentle|protect|strong,368.3914914944001,9372.8599,0.03348,0.0,0.016632,0.016632,9324.5774,9345.808813280002,81.2711,6198.2894772704,77.6675,3139.40016885152,77.6675,1302.3605675406081,1367.847290323193,1996.2371368141671,3844.9803300393955,1608.53383442576,0.0,0.0,0.0,0.0,0.0,True
standard|gentle|protect|protect,3088.2292076799995,9355.60908,0.3325200000000001,0.0,0.25108800000000003,0.25108800000000003,9327.8006,9339.528767897602,9313.83448,9323.9940482944,9296.3076,9312.4156562496,9286.026,9298.577006361604,5665.925199822661,6567.97092462073,8188.596006898988,9301.714757952,0.0825200000000001,0.0,0.0,0.0,82520.00000000009,False
standard|standard|gentle|gentle,364.50610138880006,9366.666640000001,0.03348,0.0,0.016632,0.016632,9319.612640000001,9340.353675392002,76.48904000000002,6192.8398319744,73.08200000000001,3134.152698998528,73.08200000000001,1297.5102795994114,1363.4185245065562,1991.6109950357134,3839.940213159361,1603.6173494992643,0.0,0.0,0.0,0.0,0.0,True
standard|standard|gentle|standard,220.39340998400002,9371.2474,0.016632,0.0,0.004752,0.004752,9089.552399999999,9221.44197408,91.75460000000002,3112.20680736128,87.605,1600.71440510528,87.605,692.8487620421121,843.7651447475301,1257.637903272055,2566.510058047299,844.15970255264,0.0,0.0,0.0,0.0,0.0,True
standard|standard|gentle|strong,294.9228265216001,9840.679060000002,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,804.2902600000001,4923.500738944002,804.2902600000001,1628.1323557888004,799.0705,1213.936093850752,92.29556000000005,946.9558672655361,689.4633235704582,927.3503699242636,1627.3184771742817,1006.503296925376,0.0,0.0,0.0,0.0,0.0,True
standard|standard|gentle|protect,759.5050255104002,9363.428240000001,0.07809600000000001,0.0,0.03348,0.03348,9329.803600000001,9342.305914316801,9075.952640000001,9245.239608535041,66.02664000000003,7186.148009786882,56.20200000000001,2908.8832657179655,2468.6172755290922,3381.721681970804,5677.691991610182,3622.0535821474564,0.0,0.0,0.0,0.0,0.0,True
standard|standard|standard|gentle,220.39340998400002,9371.2474,0.016632,0.0,0.004752,0.004752,9089.552399999999,9221.44197408,91.75460000000002,3112.20680736128,87.605,1600.71440510528,87.605,692.8487620421121,843.7651447475301,1257.6379032720547,2566.510058047299,844.15970255264,0.0,0.0,0.0,0.0,0.0,True
standard|standard|standard|standard,289.53383878400007,9835.828160000001,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,797.02016,4918.809463808001,797.02016,1621.3780207616003,792.128,1207.1368677048322,89.49216000000007,940.1764470374399,689.7830986537216,938.3157795951774,1666.3073618203082,999.6324338524159,0.0,0.0,0.0,0.0,0.0,True
standard|standard|standard|strong,305.07433580799994,9845.25982,0.004752,0.24000000000000002,0.24000000000000002,0.24000000000000002,819.55582,4845.917332096,819.55582,1624.8281224192,813.5935,1219.593086548864,92.29132,957.5612364159999,696.0637410325083,931.3132487349077,1615.65235499312,1016.593293274432,0.0,0.0,0.0,0.0,0.0,True
standard|standard|standard|protect,363.259259904,9368.008999999998,0.03348,0.0,0.016632,0.016632,9321.774,9342.188116800002,76.10100000000001,6194.745549599998,73.51800000000001,3134.4267823295995,70.72500000000001,1296.3045806630398,1367.7419682770328,2008.3840950433873,3900.8690267673173,1602.6994758287997,0.0,0.0,0.0,0.0,0.0,True
