H,A,S,alpha,scenario_entropy,budget_scale,noise,regime,feasible_fraction,oracle_feasible,best_mean_or_least_violation_mean,least_violation
5,4,24,0.2,0.6361501272839881,1.5,0.2,feasible_hard,0.001953125,True,201.24208917766543,0.0
5,4,24,0.2,0.6533764934951708,1.5,0.2,feasible_hard,0.005859375,True,157.13244901442945,0.0
5,4,24,0.2,0.6609932997435,1.5,0.2,stress_unobservable,0.0,True,113.20729232335752,0.0018020061370389584
5,4,24,0.2,0.5157297328214997,1.5,0.2,feasible_hard,0.01171875,True,135.6731846373869,0.0
5,4,24,0.2,0.6276539712258984,1.5,0.2,feasible_hard,0.0009765625,True,222.71145860092548,0.0
5,4,24,0.2,0.5740476750237625,1.5,0.2,feasible_hard,0.009765625,True,175.60805662168542,0.0
5,4,24,0.2,0.7008488603420988,1.5,0.2,stress_unobservable,0.0,True,179.35770028702973,0.12946881186602244
5,4,24,0.2,0.543466050391329,1.5,0.2,feasible_hard,0.001953125,True,139.95194945559308,0.0
5,4,24,0.2,0.6209423568938829,1.5,0.2,stress_unobservable,0.0,True,160.68065762992694,0.04839165967754655
5,4,24,0.2,0.480562376083602,1.5,0.2,feasible_hard,0.00390625,True,152.35493939708226,0.0
5,4,24,0.2,0.6060960871017093,1.5,0.2,feasible_hard,0.0048828125,True,178.12775950138,0.0
5,4,24,0.2,0.5588083571770037,1.5,0.2,feasible_hard,0.00390625,True,55.12735795420084,0.0
5,4,24,0.2,0.5348315114792501,1.5,0.2,feasible_hard,0.005859375,True,76.28487647677849,0.0
5,4,24,0.2,0.668819023120437,1.5,0.2,feasible_hard,0.0009765625,True,210.38986647898489,0.0
5,4,24,0.2,0.7305136058507846,1.5,0.2,stress_unobservable,0.0,True,197.5824691506558,0.08092714420061675
5,4,24,0.2,0.6397525142104449,1.5,0.2,feasible_hard,0.0009765625,True,218.53422027306445,0.0
5,4,24,0.2,0.6995593422582871,1.5,0.2,stress_unobservable,0.0,True,185.30353655138953,0.10417900714268402
5,4,24,0.2,0.5676637709650633,1.5,0.2,feasible_hard,0.005859375,True,163.8191688822128,0.0
5,4,24,0.2,0.7477377949164618,1.5,0.2,stress_unobservable,0.0,True,152.53287760893912,0.050417049672903724
5,4,24,0.2,0.6172421243796699,1.5,0.2,stress_unobservable,0.0,True,138.567959459619,0.02386247035911815
5,4,24,0.2,0.5829425777945684,1.5,0.2,stress_unobservable,0.0,True,140.3491910998058,0.006351367334209601
5,4,24,0.2,0.6715341666581869,1.5,0.2,feasible_hard,0.0009765625,True,222.82438568133657,0.0
5,4,24,0.2,0.5816984439751127,1.5,0.2,feasible_hard,0.0009765625,True,212.2809662983673,0.0
5,4,24,0.2,0.48039997809586643,1.5,0.2,feasible_hard,0.0029296875,True,200.14684208997323,0.0
5,4,24,0.2,0.5471352512698768,1.5,0.2,feasible_hard,0.0078125,True,165.66803326981454,0.0
5,4,24,0.2,0.7044737482820127,1.5,0.2,feasible_hard,0.0009765625,True,183.1648147635604,0.0
5,4,24,0.2,0.6275260356539979,1.5,0.2,stress_unobservable,0.0,True,218.61569701585165,0.0117511998415748
5,4,24,0.2,0.6472173540462111,1.5,0.2,feasible_hard,0.0009765625,True,197.90041584467747,0.0
5,4,24,0.2,0.5448464959451877,1.5,0.2,feasible_hard,0.0029296875,True,179.49411797004595,0.0
5,4,24,0.2,0.6710761203678792,1.5,0.2,feasible_hard,0.00390625,True,108.02005783398639,0.0
5,4,24,0.2,0.6050523654534353,1.5,0.2,stress_unobservable,0.0,True,188.5695996871488,0.02107746357041812
5,4,24,0.2,0.5466579704183894,1.5,0.2,stress_unobservable,0.0,True,171.07393249291403,0.011712831647460342
5,4,24,0.2,0.47928427673325213,2.0,0.2,feasible_hard,0.01953125,True,115.88769750347359,0.0
5,4,24,0.2,0.6724828610611528,2.0,0.2,feasible_hard,0.0458984375,True,127.861278181429,0.0
5,4,24,0.2,0.5248360344643904,2.0,0.2,feasible_hard,0.0234375,True,138.9135201145744,0.0
5,4,24,0.2,0.5435837055123659,2.0,0.2,feasible_hard,0.0224609375,True,176.20512557340015,0.0
5,4,24,0.2,0.5558229513095105,2.0,0.2,feasible_hard,0.0107421875,True,226.29850152538825,0.0
5,4,24,0.2,0.6458207104433047,2.0,0.2,feasible_hard,0.001953125,True,273.1662235366679,0.0
5,4,24,0.2,0.5154096198708082,2.0,0.2,feasible_hard,0.029296875,True,120.13327177582032,0.0
5,4,24,0.2,0.6368282116849094,2.0,0.2,feasible_hard,0.0146484375,True,190.62352051735152,0.0
5,4,24,0.2,0.5927719236870272,2.0,0.2,feasible_hard,0.01953125,True,145.99237414532394,0.0
5,4,24,0.2,0.5205388018348485,2.0,0.2,feasible_hard,0.033203125,True,117.16230843590878,0.0
5,4,24,0.2,0.5645797177105931,2.0,0.2,feasible_hard,0.0185546875,True,131.81940675098988,0.0
5,4,24,0.2,0.6554279570836813,2.0,0.2,feasible_hard,0.025390625,True,170.0516344209212,0.0
5,4,24,0.2,0.7639643046229103,2.0,0.2,feasible_hard,0.005859375,True,257.2783257329905,0.0
5,4,24,0.2,0.5041640065782066,2.0,0.2,stress_unobservable,0.0,True,156.63417869002996,0.048348039837862844
5,4,24,0.2,0.6333665305934462,2.0,0.2,feasible_hard,0.021484375,True,191.83303730896552,0.0
5,4,24,0.2,0.4336564083126965,2.0,0.2,feasible_hard,0.041015625,True,105.16694963844093,0.0
5,4,24,0.2,0.5388893247933134,2.0,0.2,feasible_hard,0.0283203125,True,130.44059180539497,0.0
5,4,24,0.2,0.6556111014963755,2.0,0.2,feasible_hard,0.0234375,True,192.67796193450462,0.0
5,4,24,0.2,0.5109791072833316,2.0,0.2,feasible_hard,0.048828125,True,95.13434077395192,0.0
5,4,24,0.2,0.38318918011894226,2.0,0.2,feasible_hard,0.01953125,True,233.10947139108478,0.0
5,4,24,0.2,0.7233652171001229,2.0,0.2,feasible_hard,0.0048828125,True,212.78349668365178,0.0
5,4,24,0.2,0.589893011030846,2.0,0.2,feasible_hard,0.0224609375,True,113.7407264077996,0.0
5,4,24,0.2,0.698260017980181,2.0,0.2,feasible_hard,0.0087890625,True,257.9454665845374,0.0
5,4,24,0.2,0.7024028164736985,2.0,0.2,feasible_hard,0.013671875,True,147.21295608367737,0.0
5,4,24,0.2,0.3856960375048446,2.0,0.2,feasible_hard,0.02734375,True,80.9992372394157,0.0
5,4,24,0.2,0.7065823734747309,2.0,0.2,feasible_hard,0.0087890625,True,203.34874789301455,0.0
5,4,24,0.2,0.553391867918189,2.0,0.2,feasible_hard,0.0302734375,True,124.34146246383445,0.0
5,4,24,0.2,0.5750310581227676,2.0,0.2,feasible_hard,0.0087890625,True,218.60177925721064,0.0
5,4,24,0.2,0.6423039007041418,2.0,0.2,feasible_hard,0.041015625,True,176.19425694116205,0.0
5,4,24,0.2,0.505594225400557,2.0,0.2,feasible_hard,0.0234375,True,107.4258118517111,0.0
5,4,24,0.2,0.3631406822850104,2.0,0.2,feasible_hard,0.0263671875,True,97.37467016445953,0.0
5,4,24,0.2,0.5779865894812851,2.0,0.2,feasible_hard,0.0322265625,True,161.16915286322563,0.0
5,4,24,0.2,0.8085307846279072,2.0,0.2,feasible_hard,0.01171875,True,228.30580844561968,0.0
5,4,24,0.2,0.5808638614035277,2.0,0.2,feasible_hard,0.033203125,True,174.30213858771296,0.0
5,4,24,0.2,0.5151366472287686,2.0,0.2,feasible_hard,0.03515625,True,65.90005940477928,0.0
5,4,24,0.2,0.6922424519527227,2.0,0.2,feasible_hard,0.01171875,True,215.625965789582,0.0
5,4,24,0.2,0.6105455098902793,2.0,0.2,feasible_hard,0.013671875,True,182.81870445932879,0.0
5,4,24,0.2,0.6317226373708638,2.0,0.2,feasible_hard,0.029296875,True,180.09593817310673,0.0
5,4,24,0.2,0.6343394021722698,2.0,0.2,feasible_hard,0.041015625,True,131.72507794079314,0.0
5,4,24,0.2,0.7391219148567637,2.0,0.2,feasible_hard,0.009765625,True,177.08657418324174,0.0
5,4,24,0.2,0.4836375326468456,2.0,0.2,feasible_hard,0.017578125,True,139.8781872874011,0.0
5,4,24,0.2,0.6014448846029449,2.0,0.2,feasible_hard,0.01171875,True,129.54990203324417,0.0
5,4,24,0.2,0.6293801574999562,2.0,0.2,feasible_hard,0.013671875,True,195.53850829555574,0.0
5,4,24,0.2,0.5405122660235242,2.0,0.2,feasible_hard,0.037109375,True,132.8422929275268,0.0
