sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|reboot_A|reboot_C|reboot_D|reboot_D|reboot_C,161.25,355.0,355.0,355.0,355.0,355.0,355.0,355.0,285.0,320.0,187.0146750586436,227.8791346531051,284.2413360693115,328.75,0.125,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_C|reboot_D|reboot_D|reboot_D,176.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,285.0,337.5,204.0527451249925,247.3716862699553,306.764705882353,350.625,0.125,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|noop|noop,233.875,407.0,407.0,407.0,407.0,407.0,407.0,407.0,372.0,389.5,266.1039538024985,312.76735174536174,365.67191062471505,393.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|noop|noop|reboot_A,222.375,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,252.94003045047043,297.3911560735543,347.6004331965344,378.0,0.5,0.375,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|noop|noop|reboot_B,222.375,378.0,378.0,378.0,378.0,378.0,378.0,378.0,343.0,360.5,251.37844456581627,293.3486879700924,340.2549019607843,364.875,0.5,0.5,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|noop|noop|reboot_C,222.375,378.0,378.0,378.0,378.0,378.0,378.0,378.0,343.0,360.5,251.83654351981738,294.8130738383565,342.9321705426357,364.875,0.5,0.375,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|noop|noop|reboot_D,222.375,413.0,413.0,413.0,413.0,413.0,413.0,413.0,343.0,378.0,254.22122310887596,299.8628589258086,354.42327861377106,386.75,0.5,0.375,0.5,0.25,0.0,0.0,500000.0,False
noop|reboot_A|reboot_D|noop|reboot_A|noop,192.375,378.0,378.0,378.0,378.0,378.0,378.0,378.0,343.0,360.5,220.231613506374,261.62821325948767,316.7249202006384,364.875,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_A|reboot_A,198.375,384.0,384.0,384.0,384.0,384.00000000000006,384.0,384.00000000000006,349.0,366.5,226.23161350637395,267.62821325948767,322.72492020063845,370.87500000000006,0.25,0.25,0.375,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_A|reboot_B,179.0,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,299.0,324.0,203.81990609453817,241.12547280251917,290.7208162334702,330.25000000000006,0.25,0.25,0.25,0.0,0.0,0.0,0.0,True
noop|reboot_A|reboot_D|noop|reboot_A|reboot_C,177.125,349.0,349.0,349.0,349.0,348.99999999999994,349.0,348.99999999999994,299.0,324.0,201.56660393849558,238.50256621181086,288.50467396260836,330.25000000000006,0.25,0.25,0.125,0.0,0.0,0.0,0.0,True
