task,planner,budget,n,score_mean,score_se,score_best,feasibility_rate,source_csv
bged_hard_H6_A6_S120,cem,10000,20,10586.44603016942,0.0,10586.44603016942,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H6_A6_S120,evolutionary,10000,20,10586.465770031957,0.019739862537153385,10586.44603016942,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H6_A6_S120,open_loop_mcts,10000,20,10630.832653089185,5.78959665982711,10587.235624670899,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,random,100,20,12969.933590723856,183.8106492004404,10656.805640957378,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,beam,100,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,cem,100,20,12624.862617471856,236.03460697630595,10645.628982528187,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,evolutionary,100,20,12998.256806629352,145.0185514075558,10658.755958337399,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,open_loop_mcts,100,20,12145.952560517302,221.30477293230416,10625.207284609276,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,random,500,20,12839.241015257912,182.59781308210358,10656.805640957378,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,beam,500,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,cem,500,20,11013.562837833146,167.79103849394082,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,evolutionary,500,20,10596.938124960609,3.2434962242934176,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,open_loop_mcts,500,20,12145.729749994698,221.24632837289016,10625.207284609276,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,random,1000,20,12664.115764924543,211.1763842997205,10626.096061623492,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,beam,1000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,cem,1000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,evolutionary,1000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,open_loop_mcts,1000,20,12145.729749994698,221.24632837289016,10625.207284609276,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,random,5000,20,11347.112023388947,173.12665816193464,10626.096061623492,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,beam,5000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,cem,5000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,evolutionary,5000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,open_loop_mcts,5000,20,12145.729749994698,221.24632837289016,10625.207284609276,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,random,10000,20,10890.225593682802,123.8249175179513,10626.096061623492,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,beam,10000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,cem,10000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
bged_hard_H8_A6_S120,evolutionary,10000,20,10589.870835048441,0.0,10589.870835048441,1.0,results/large_scale_calibrated_multiseed_bged_hard_governed_wowa_balanced_raw.csv
